,Age,Min,Gls,Ast,Gls+Ast,Tackle,Press,Blocks,Passes Completed,Passes Attempted,Market value
490,19.0,778.0,1.0,0.0,1.0,20.0,236.0,17.0,286.0,344.0,16
491,22.0,2206.0,0.0,0.0,0.0,31.0,160.0,52.0,847.0,980.0,16
492,22.0,5629.0,3.0,3.0,6.0,157.0,1204.0,95.0,2867.0,3411.0,16
493,24.0,5016.0,4.0,7.0,11.0,154.0,1670.0,106.0,2693.0,3237.0,16
494,24.0,3496.0,4.0,6.0,10.0,82.0,1137.0,67.0,1750.0,2152.0,16
495,22.0,441.0,1.0,2.0,3.0,16.0,130.0,11.0,101.0,142.0,16
496,21.0,2520.0,1.0,0.0,1.0,54.0,572.0,41.0,918.0,1169.0,16
497,21.0,1291.0,1.0,0.0,1.0,30.0,149.0,29.0,981.0,1098.0,16
498,23.0,4941.0,14.0,7.0,21.0,44.0,919.0,81.0,1631.0,2055.0,16
499,21.0,1888.0,11.0,3.0,14.0,16.0,379.0,18.0,232.0,301.0,16
500,24.0,1597.0,2.0,2.0,4.0,45.0,376.0,35.0,689.0,799.0,16
502,25.0,3356.0,3.0,2.0,5.0,64.0,895.0,58.0,777.0,1042.0,16
505,23.0,3144.0,5.0,4.0,9.0,85.0,618.0,80.0,1742.0,2084.0,16
506,23.0,4411.0,1.0,1.0,2.0,50.0,262.0,60.0,3008.0,3356.0,16
508,21.0,2060.0,4.0,2.0,6.0,41.0,515.0,33.0,1133.0,1366.0,16
511,22.0,1957.0,0.0,0.0,0.0,40.0,481.0,28.0,866.0,1094.0,16
512,24.0,1747.0,9.0,3.0,12.0,21.0,339.0,19.0,466.0,639.0,16
513,22.0,2895.0,13.0,6.0,19.0,43.0,650.0,25.0,482.0,670.0,16
514,22.0,2611.0,4.0,3.0,7.0,38.0,445.0,37.0,1233.0,1531.0,16
515,28.0,2154.0,3.0,4.0,7.0,56.0,602.0,36.0,1084.0,1361.0,16
516,22.0,3572.0,13.0,3.0,16.0,30.0,661.0,42.0,1103.0,1299.0,16
